Winthrop,WA,-32.0555,115.8474
Midland,WA,-31.9,116
Malaga,WA,-31.8526,115.881
Dayton,WA,-31.8273,115.9742
Darwin,NT,-12.43706154,130.8505802
Georgetown,DE,6.8,-58.1667
Naalehu,HI,19.0676,-155.5798
Captain Cook,HI,19.2687,-155.8722
Pahoa,HI,19.4601,-155.0246
Kealakekua,HI,19.5243,-155.9007
Kurtistown,HI,19.5482,-155.0597
Holualoa,HI,19.6256,-155.9194
Hilo,HI,19.69938031,-155.138511
Kailua-Kona,HI,19.7108,-155.874
Hakalau,HI,19.8703,-155.2297
Waikoloa,HI,19.9305,-155.7967
Waimea,HI,20.1304,-155.793975
Kapaau,HI,20.2017,-155.7833
Kihei,HI,20.6989,-156.443
Hana,HI,20.7615,-156.1103
Lanai,HI,20.8209,-156.9474
Pukalani,HI,20.8367,-156.3367
Makawao,HI,20.8451,-156.3087
Haiku,HI,20.8588,-156.1405
Kahului,HI,20.88045135,-156.4690459
Wailuku,HI,20.8999,-156.5389
Lahaina,HI,20.90586279,-156.6267163
Paia,HI,20.9088,-156.3702
Kaunakakai,HI,21.109,-156.9093
Maunaloa,HI,21.1774,-157.2276
Honolulu,HI,21.32260015,-157.8401287
Waimanalo,HI,21.3432,-157.7067
Kapolei,HI,21.3775,-158.0862
Kailua,HI,21.4024,-157.7405
Waipahu,HI,21.4116,-158.0183
Pearl City,HI,21.4219,-157.9371
Kaneohe,HI,21.4526301,-157.8284456
Waianae,HI,21.457,-158.173
Wahiawa,HI,21.5488,-158.0298
Waialua,HI,21.5769,-158.1315
Kahuku,HI,21.6645,-157.98
Koloa,HI,21.9081,-159.4762
Lawai,HI,21.9216,-159.5038
Lihue,HI,21.977,-159.3911
Kekaha,HI,22.0196,-159.7862
Kapaa,HI,22.0837,-159.3553
Kilauea,HI,22.1938,-159.3873
Hanalei,HI,22.2017,-159.5031
Princeville,HI,22.2225,-159.4801
Key West,FL,24.58480294,-81.68395882
Summerland Key,FL,24.6482,-81.5185
Big Pine Key,FL,24.6881,-81.3649
Marathon,FL,24.7163,-81.0767
Key Colony Beach,FL,24.721,-81.0187
Islamorada,FL,24.8651,-80.713
Tavernier,FL,25.0042,-80.5267
Key Largo,FL,25.1842,-80.3791
Homestead,FL,25.49004347,-80.47083153
Key Biscayne,FL,25.6968,-80.1611
Coral Gables,FL,25.74504586,-80.27092034
Miami,FL,25.77414271,-80.2895185
Miami Beach,FL,25.80449581,-80.13392828
Doral,FL,25.8195,-80.3553
Hialeah,FL,25.89381106,-80.31887709
Goodland,FL,25.9248,-81.6456
North Miami Beach,FL,25.9332,-80.1625
Marco Island,FL,25.93779459,-81.69881892
Brownsville,TX,25.96936205,-97.44768564
Hallandale,FL,25.9863,-80.1518
Pembroke Pines,FL,26.0032,-80.2239
Hollywood,FL,26.00384687,-80.25853004
Dania Beach,FL,26.0577,-80.1419
Davie,FL,26.0629,-80.2331
Port Isabel,TX,26.0968,-97.3168
San Benito,TX,26.0989,-97.6432
Los Fresnos,TX,26.102,-97.4113
Hidalgo,TX,26.1105,-98.2526
Plantation,FL,26.1342,-80.2318
Fort Lauderdale,FL,26.13691468,-80.21914076
Alamo,TX,26.1451,-98.1197
Pharr,TX,26.1546,-98.2045
La Feria,TX,26.1653,-97.8241
San Juan,TX,26.1664,-98.1518
Weslaco,TX,26.17058137,-97.98242353
Mercedes,TX,26.1884,-97.9232
Naples,FL,26.19318197,-81.73703022
Mission,TX,26.20130484,-98.35492581
Harlingen,TX,26.23264362,-97.69654096
McAllen,TX,26.23601111,-98.23650667
South Padre Island,TX,26.2394,-97.1853
Pompano Beach,FL,26.25957024,-80.18338936
Rio Hondo,TX,26.2615,-97.4872
Sullivan City,TX,26.2971,-98.5469
Deerfield Beach,FL,26.30993659,-80.12194181
Edinburg,TX,26.34400463,-98.17335093
Boca Raton,FL,26.36806183,-80.13787724
Bonita Springs,FL,26.36820511,-81.78585399
Estero,FL,26.40059302,-81.70355581
Delray Beach,FL,26.45554743,-80.11589308
Sanibel,FL,26.4577,-82.0981
Fort Myers Beach,FL,26.4707,-81.9181
Rio Grande City,TX,26.5106,-98.6534
Boynton Beach,FL,26.52447961,-80.10637856
Saint James City,FL,26.5517,-82.0981
Fort Myers,FL,26.58139709,-81.84065303
Lake Worth,FL,26.60020571,-80.12513921
Cape Coral,FL,26.6164217,-81.97006592
Lehigh Acres,FL,26.62011746,-81.64091587
Bokeelia,FL,26.6411,-82.1234
South Bay,FL,26.6547,-80.728
Palm Beach,FL,26.6779,-80.038
Belle Glade,FL,26.6951,-80.643
West Palm Beach,FL,26.70504529,-80.1351401
North Fort Myers,FL,26.70755395,-81.86966623
Royal Palm Beach,FL,26.7084,-80.2306
Boca Grande,FL,26.7641,-82.2643
Labelle,FL,26.834675,-81.443125
Palm Beach Gardens,FL,26.83890994,-80.16463636
North Palm Beach,FL,26.8542,-80.0547
Placida,FL,26.8574,-82.3116
Pahokee,FL,26.8595,-80.6362
Rotonda,FL,26.876,-82.2681
Juno Beach,FL,26.8798,-80.0534
Moore Haven,FL,26.90003333,-81.14956667
Punta Gorda,FL,26.91562632,-81.99651729
Jupiter,FL,26.94004466,-80.13581534
Englewood,FL,26.95863265,-82.3251
Port Charlotte,FL,26.98100661,-82.11690661
Hobe Sound,FL,27.05459091,-80.14346909
Venus,FL,27.0651,-81.4151
Venice,FL,27.065819,-82.39104
Hebbronville,TX,27.0715,-98.8097
North Port,FL,27.07620952,-82.22327976
Port Salerno,FL,27.1102,-80.4542
Palm City,FL,27.1188,-80.3666
Stuart,FL,27.12549574,-80.24767319
Nokomis,FL,27.17915976,-82.39006951
Arcadia,FL,27.18831364,-81.87071364
Osprey,FL,27.1896,-82.4802
Lake Placid,FL,27.2419,-81.3564
Okeechobee,FL,27.25287969,-81.00743281
Jensen Beach,FL,27.255,-80.2476
Port Saint Lucie,FL,27.2856863,-80.36344364
Sarasota,FL,27.31073444,-82.49044026
Longboat Key,FL,27.3853,-82.6368
Bradenton,FL,27.4609671,-82.5293294
Kingsville,TX,27.4615,-97.8437
Zolfo Springs,FL,27.4662,-81.7084
Bradenton Beach,FL,27.47785,-82.6935
Sebring,FL,27.48583178,-81.46044673
Wauchula,FL,27.5063,-81.7793
Parrish,FL,27.5701,-82.3798
Palmetto,FL,27.59220375,-82.50594
Bowling Green,FL,27.6146,-82.0455
Laredo,TX,27.62533547,-99.51398212
Avon Park,FL,27.6387,-81.4048
Vero Beach,FL,27.65600488,-80.43302385
Alice,TX,27.704868,-98.084106
Ruskin,FL,27.71046404,-82.4314573
Corpus Christi,TX,27.71750016,-97.40525129
Sun City Center,FL,27.7313,-82.362
Frostproof,FL,27.7447,-81.5226
Port Aransas,TX,27.7593,-97.1161
Robstown,TX,27.7604,-97.7429
San Diego,TX,27.7694,-98.4941
Apollo Beach,FL,27.7713,-82.4143
Lithia,FL,27.7866,-82.144
St. Petersburg,FL,27.79451493,-82.67515963
Mulberry,FL,27.802,-81.9899
Sebastian,FL,27.80384217,-80.49428072
Babson Park,FL,27.8134,-81.477
Homeland,FL,27.8178,-81.8245
Pinellas Park,FL,27.84545525,-82.71419337
Seminole,FL,27.84632195,-82.78800244
Gibsonton,FL,27.8536,-82.3826
Riverview,FL,27.8557223,-82.3154115
Ingleside,TX,27.865,-97.2001
Indian Rocks Beach,FL,27.8736,-82.85
Lake Wales,FL,27.87365806,-81.51855806
Bartow,FL,27.88918125,-81.81470625
Portland,TX,27.8923,-97.3187
Largo,FL,27.90161729,-82.77851383
Freer,TX,27.9112,-98.5865
Brandon,FL,27.91174344,-82.30077872
Valrico,FL,27.92732584,-82.23285933
Clearwater,FL,27.96202318,-82.75161706
Melbourne Beach,FL,27.9668,-80.5096
Dover,FL,27.9671,-82.2178
Malabar,FL,27.9686,-80.5772
Aransas Pass,TX,27.9709,-97.155
Waverly,FL,27.9789,-81.614
Winter Haven,FL,27.99441504,-81.70178673
Palm Bay,FL,27.99618065,-80.6510457
Orange Grove,TX,27.9973,-98.0931
Seffner,FL,28.0042,-82.2936
Tampa,FL,28.00681436,-82.47646101
Safety Harbor,FL,28.0145,-82.6923
Dundee,FL,28.0186,-81.6198
Plant City,FL,28.02172892,-82.12932289
Dunedin,FL,28.02859059,-82.76900118
Clearwater Beach,FL,28.0316,-82.8214
Rockport,TX,28.03768727,-97.09301455
Oldsmar,FL,28.0444,-82.6795
Lakeland,FL,28.04722715,-81.95884978
Sinton,TX,28.0482,-97.491
Haines City,FL,28.0573,-81.5687
Fulton,TX,28.0614,-97.0411
Auburndale,FL,28.0795,-81.8037
Palm Harbor,FL,28.08799009,-82.73884458
Lake Alfred,FL,28.09,-81.7307
Crystal Beach,FL,28.0914,-82.7798
Thonotosassa,FL,28.0985,-82.2734
Indialantic,FL,28.1075,-80.5803
Mathis,TX,28.1087,-97.8061
Melbourne,FL,28.1430129,-80.69558756
Tarpon Springs,FL,28.14391102,-82.74108559
Lutz,FL,28.15327561,-82.48028585
Satellite Beach,FL,28.1737,-80.5997
Odessa,FL,28.1764,-82.5954
Holiday,FL,28.19683671,-82.75373291
Saint Cloud,FL,28.22573378,-81.23706892
Polk City,FL,28.2321,-81.8115
Davenport,FL,28.23565,-81.66055328
Zephyrhills,FL,28.23611597,-82.27626613
Wesley Chapel,FL,28.2397,-82.3279
New Port Richey,FL,28.24270049,-82.67723901
George West,TX,28.2527,-98.1074
Kissimmee,FL,28.25503467,-81.42949196
Rockledge,FL,28.29116423,-80.75908211
Port Richey,FL,28.30183557,-82.70539195
Cocoa Beach,FL,28.31667755,-80.61323061
San Antonio,FL,28.32,-82.2609
Tilden,TX,28.3491,-98.5688
Cotulla,TX,28.3566,-99.1436
Dade City,FL,28.35698889,-82.24646667
Merritt Island,FL,28.37039671,-80.66729868
Hudson,FL,28.37711452,-82.64442016
Cape Canaveral,FL,28.3898,-80.6051
Cocoa,FL,28.41944124,-80.79460928
Spring Hill,FL,28.46920906,-82.5392425
